year,month,Communication Service,Consumer Discretionary,Consumer Staples,Financials,Energy,Industrials,Health Care,Information Technology,Materials,Real Estate,Utilities,gld,gspc
2017,04,,,,,,,,,,,,,
2017,05,0.09319322992590062,0.07399964197894149,0.3573091167945739,0.017902092297731098,-0.007933671288605004,0.04205351975705951,0.032343974150538246,0.027771672657458613,0.04676100835803032,0.004962317534737526,0.008356293916131019,,0.021842210334590995
2017,06,-0.00756581386138544,0.017576542108988624,0.9692264315983234,0.03637783830042762,0.0037522335090001135,0.0541202243268597,0.03720994925228038,0.0078845665735785,0.024010313009904527,0.004080809163687693,0.022124536484552815,,0.010932017395042681
2017,07,0.026037739083631273,0.01589747129651542,-0.13438857888693012,0.031690373680995254,0.007671349846089193,0.02158341840167166,0.0087836078216188,0.02798278972674928,0.0019169931016649322,-0.008344331332060584,0.0010952203581795494,,0.012142566543672295
2017,08,-0.006425116240531548,-0.02901577018552448,-0.2873437989233538,-0.014625197875993479,-0.016977392837758787,-0.017665269307418408,-0.016796510666079678,0.015138805215063833,-0.022395132673964646,-0.021829617711743743,0.03578431308131513,,-0.005918484539279678
2017,09,0.021479132947469726,0.009219163936194708,-0.14557538402179404,0.023349048554390794,0.07028351669060684,0.02694841989366159,0.023518904909684446,0.018588850412196267,0.026893276603130456,0.023979513595799418,-0.004757012039007025,,0.020106307041981797
2017,10,0.05399251917003012,0.05445897219104201,0.6119366020280606,0.06845115163406024,0.020397511362145737,0.03792874223567311,0.014176871098507293,0.06168383705123093,0.06294678623842143,0.018178320687645355,0.02372028982232366,,0.029454976930791243
2017,11,0.015989996169633258,0.06369893650713454,-0.33011399612180703,0.007834436082426288,0.011024817118393315,-0.009087866705869918,0.02893207409522791,0.04244377610337691,0.007151533626489126,0.015717549798846653,0.041503646657472304,,0.012502699662415573
2017,12,0.009969014473522053,0.024884651314401873,0.04751316825654461,0.0521923086448588,0.05334074568866298,0.07725323201283962,0.01815168944063572,0.0009165328089069114,0.030532990956600337,-0.0016753211528650613,-0.021019407010396063,,0.026761083293969534
2018,01,0.08561853802935349,0.0974614554007005,-0.02503692113880407,0.06062799693477183,0.06439207914308054,0.07874716598888831,0.06896498486323366,0.05512658765214207,0.045723259443873676,-0.012041534853097113,-0.058202608753350815,,0.04637585448318693
